,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
613,60,RL,87,12361,Pave,NA,3,Lvl,4,CulDSac,3,SawyerW,Norm,Norm,1Fam,2Story,6,7,1993,1993,Gable,CompShg,VinylSd,VinylSd,BrkFace,85,4,4,PConc,4,3,1,6,860,1,0,86,946,GasA,5,Y,4,964,838,0,1802,0,1,2,1,3,1,4,8,5,1,4,2Types,2000,2,4,1017,3,3,1,450,92,0,0,0,0,0,0,NA,0,5,2010,WD ,218000
614,80,RL,72,9720,Pave,NA,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,SLvl,5,7,1977,1977,Gable,CompShg,Plywood,VinylSd,BrkFace,51,3,3,CBlock,3,5,3,5,755,1,0,240,995,GasA,3,Y,4,1009,0,0,1009,0,0,2,0,3,1,3,6,5,1,2,Detchd,1977,1,2,576,3,3,1,0,0,0,0,0,0,0,3,NA,0,6,2007,WD ,160000
615,20,FV,72,8640,Pave,NA,4,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,6,24,1,0,1314,1338,GasA,5,Y,4,1338,0,0,1338,0,0,2,0,3,1,4,6,5,0,0,Attchd,2007,2,2,598,3,3,1,0,141,0,0,0,0,0,0,NA,0,11,2007,New,208900
616,20,RL,123,47007,Pave,NA,3,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,5,7,1959,1996,Gable,CompShg,Plywood,Plywood,None,0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,Y,4,3820,0,0,3820,0,0,3,1,5,1,5,11,5,2,4,Attchd,1959,1,2,624,3,3,1,0,372,0,0,0,0,0,0,NA,0,7,2008,WD ,284700
617,160,FV,30,3180,Pave,Pave,4,Lvl,4,Inside,3,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,1,0,1,0,689,689,GasA,5,Y,4,703,689,0,1392,0,0,2,0,2,1,4,5,5,0,0,Detchd,2007,1,2,540,3,3,1,0,102,0,0,0,0,0,0,NA,0,3,2008,WD ,146000
618,120,RL,38,14963,Pave,NA,2,Lvl,4,Inside,3,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,BrkFace,None,0,4,3,PConc,4,3,1,6,786,1,0,474,1260,GasA,5,Y,4,1288,0,0,1288,1,0,1,1,1,1,5,4,5,2,4,Attchd,1996,3,2,500,3,3,1,120,30,0,0,224,0,0,0,NA,0,12,2008,WD ,245500
619,45,RM,50,5000,Pave,NA,4,Bnk,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,1,1,0,1,0,992,992,GasA,5,Y,4,1013,0,0,1013,0,0,1,0,3,1,3,6,5,0,0,Detchd,1926,1,1,160,2,3,1,0,0,101,0,0,0,0,0,NA,0,4,2008,WD ,113000
620,20,RL,129,16870,Pave,NA,3,Lvl,4,FR3,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,238,4,3,PConc,5,3,4,6,1531,1,0,251,1782,GasA,5,Y,4,1782,0,0,1782,1,0,2,0,3,1,4,7,5,2,4,Attchd,2004,3,3,932,3,3,1,99,82,0,0,0,0,0,0,NA,0,4,2009,WD ,296000
621,20,RL,86,14157,Pave,NA,3,HLS,4,Corner,3,StoneBr,Norm,Norm,1Fam,1Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,Stone,200,4,3,PConc,5,3,4,6,1249,1,0,673,1922,GasA,5,Y,4,1922,0,0,1922,1,0,2,0,3,1,4,8,5,1,4,Attchd,2005,3,3,676,3,3,1,178,51,0,0,0,0,0,0,NA,0,7,2007,WD ,377426
622,20,RL,96,12456,Pave,NA,4,Lvl,4,FR2,3,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2007,Hip,CompShg,CemntBd,CmentBd,Stone,230,5,3,PConc,5,3,4,6,1172,1,0,528,1700,GasA,5,Y,4,1718,0,0,1718,1,0,2,0,3,1,5,7,5,1,4,Attchd,2008,3,3,786,3,3,1,216,48,0,0,0,0,0,0,NA,0,7,2009,WD ,337500
623,20,RL,100,14836,Pave,NA,3,HLS,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,10,5,2004,2005,Hip,CompShg,CemntBd,CmentBd,Stone,730,5,3,PConc,5,3,4,6,2146,1,0,346,2492,GasA,5,Y,4,2492,0,0,2492,1,0,2,1,2,1,5,8,5,1,5,Attchd,2004,3,3,949,3,3,1,226,235,0,0,0,0,0,0,NA,0,2,2009,WD ,552000
624,50,RL,56,6956,Pave,NA,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1.5Fin,4,7,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,2,3,2,1,0,1,0,624,624,GasA,5,Y,4,624,312,0,936,0,0,1,0,3,1,3,5,5,0,0,Attchd,1948,1,1,265,3,1,1,0,0,0,0,0,0,0,0,NA,0,4,2006,WD ,97900
625,20,FV,75,7862,Pave,NA,3,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,6,27,1,0,1191,1218,GasA,5,Y,4,1218,0,0,1218,0,0,2,0,2,1,4,4,5,0,0,Attchd,2009,3,2,676,3,3,1,0,102,0,0,0,0,0,0,NA,0,9,2009,New,208300
626,60,RL,0,11050,Pave,NA,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,4,3,2,1,0,1,0,910,910,GasA,5,Y,4,910,910,0,1820,0,0,2,1,3,1,4,8,5,1,3,Attchd,1996,1,3,816,3,3,1,318,32,0,0,0,0,0,0,NA,0,9,2008,WD ,213000
627,60,RL,57,8924,Pave,NA,3,Lvl,4,CulDSac,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,4,3,3,1,0,1,0,880,880,GasA,5,Y,4,880,844,0,1724,0,0,2,1,3,1,4,8,5,0,0,Attchd,1998,3,2,527,3,3,1,120,155,0,0,0,0,0,0,NA,0,7,2008,WD ,188000
628,20,RL,0,9610,Pave,NA,3,Lvl,4,Corner,3,NAmes,Feedr,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,632,3,3,CBlock,3,3,1,3,203,1,0,918,1121,GasA,5,Y,3,1336,0,0,1336,0,0,1,1,3,1,3,7,5,1,3,Attchd,1958,2,2,488,3,3,1,80,0,0,0,0,0,0,0,NA,0,12,2006,WD ,162000
629,50,RM,75,13710,Pave,NA,4,Lvl,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,1,4,420,1,0,490,910,GasA,3,Y,3,910,648,0,1558,0,0,1,1,4,1,3,6,5,0,0,Attchd,1950,1,1,282,3,3,1,289,0,0,0,0,0,0,3,NA,0,6,2007,WD ,152000
630,60,FV,100,12552,Pave,NA,4,Lvl,4,Corner,3,Somerst,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,6,222,1,0,769,991,GasA,5,Y,4,991,956,0,1947,0,0,2,1,3,1,4,8,5,1,4,Attchd,2004,2,2,678,3,3,1,0,136,0,0,0,0,0,2,NA,0,5,2010,WD ,254900
631,60,RL,43,14565,Pave,NA,2,Lvl,4,CulDSac,3,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,145,4,3,PConc,4,3,3,6,537,1,0,295,832,GasA,5,Y,4,832,825,0,1657,0,0,2,1,3,1,4,6,5,0,0,Attchd,1994,2,2,483,3,3,1,144,74,0,0,0,0,0,0,Shed,2000,11,2008,WD ,189000
632,20,RL,56,18559,Pave,NA,3,Lvl,4,CulDSac,3,NWAmes,Norm,Norm,1Fam,1Story,7,5,1978,1978,Hip,CompShg,Plywood,Plywood,BrkFace,383,4,4,CBlock,4,3,1,6,1206,3,186,656,2048,GasA,3,Y,4,2064,0,0,2064,1,0,2,0,3,1,4,7,5,2,2,Attchd,1978,3,2,550,3,3,1,200,0,0,0,0,0,0,0,NA,0,8,2008,WD ,235000
633,190,RL,68,10880,Pave,NA,4,Lvl,4,Inside,3,Edwards,Norm,Norm,2fmCon,1Story,5,5,1950,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,1,5,1040,1,0,124,1164,GasW,3,N,4,1164,0,0,1164,1,0,1,0,3,1,3,5,5,0,0,Detchd,1950,1,1,240,3,3,1,0,48,0,0,0,0,0,0,NA,0,8,2008,ConLD,125000
634,120,RL,24,2280,Pave,NA,4,Lvl,4,FR2,3,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,3,3,CBlock,4,3,1,1,0,1,0,836,836,GasA,5,Y,4,836,0,0,836,0,0,1,0,2,1,3,4,5,0,0,Attchd,1975,1,1,308,3,3,1,0,30,0,0,0,0,0,0,NA,0,6,2010,WD ,120000
635,20,A (agr),125,31250,Pave,NA,4,Lvl,4,Inside,3,Mitchel,Artery,Norm,1Fam,1Story,1,3,1951,1951,Gable,CompShg,CBlock,VinylSd,None,0,3,2,CBlock,0,0,0,0,0,0,0,0,0,GasA,3,Y,3,1600,0,0,1600,0,0,1,1,3,1,3,6,3,0,0,Attchd,1951,1,1,270,2,3,0,0,0,135,0,0,0,0,0,NA,0,5,2006,WD ,81500
636,90,RL,81,11841,Grvl,NA,4,Lvl,4,Inside,3,Edwards,Norm,Norm,Duplex,SFoyer,6,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,BrkFace,104,3,4,CBlock,4,3,3,6,816,1,0,0,816,GasA,3,Y,4,816,0,0,816,1,0,1,0,3,1,3,5,5,0,0,NA,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,NA,0,5,2007,WD ,118500
637,20,FV,85,9187,Pave,NA,4,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,9,5,2009,2009,Gable,CompShg,CemntBd,CmentBd,Stone,162,5,3,PConc,5,3,2,6,1121,1,0,645,1766,GasA,5,Y,4,1766,0,0,1766,1,0,2,1,2,1,5,7,5,1,4,Attchd,2009,3,3,478,3,3,1,195,130,0,0,0,0,0,0,NA,0,10,2009,New,370878
638,90,RH,82,6270,Pave,NA,4,HLS,4,Inside,3,Crawfor,Norm,Norm,Duplex,2Story,5,6,1949,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,1,4,284,1,0,717,1001,GasA,3,N,3,1001,1001,0,2002,0,0,2,0,4,2,3,8,5,0,0,2Types,1949,1,3,871,3,3,1,0,0,0,0,0,0,0,0,NA,0,8,2007,WD ,145000
639,50,RL,0,15660,Pave,NA,3,Lvl,4,Corner,3,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,1939,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,312,4,4,CBlock,3,3,1,4,341,1,0,457,798,GasA,5,Y,4,1137,817,0,1954,0,1,1,1,3,1,4,8,5,2,3,Attchd,1939,1,2,431,3,3,1,0,119,150,0,0,0,0,0,NA,0,5,2008,WD ,311500
640,120,RL,43,3087,Pave,NA,4,Lvl,4,Inside,3,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14,4,3,PConc,4,3,3,6,453,1,0,767,1220,GasA,5,Y,4,1364,0,0,1364,1,0,2,0,2,1,4,6,5,1,4,Attchd,2006,3,2,437,3,3,1,100,16,0,0,0,0,0,0,NA,0,11,2006,New,210250
641,60,RL,95,13450,Pave,NA,3,Lvl,4,Corner,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,6,700,1,0,216,916,GasA,5,Y,4,920,941,0,1861,1,0,2,1,3,1,4,8,5,0,0,BuiltIn,2002,2,2,492,3,3,1,146,91,0,0,0,0,0,0,NA,0,6,2006,WD ,200000
642,90,RL,75,10125,Pave,NA,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,Duplex,1.5Fin,5,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,0,0,0,0,0,0,0,0,0,GasA,3,Y,4,1302,432,0,1734,0,0,2,0,4,2,4,8,5,0,0,Attchd,1977,1,2,539,3,3,1,0,0,0,0,0,0,0,0,NA,0,8,2009,COD,126000
643,70,RL,80,8146,Pave,NA,4,Lvl,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0,4,4,BrkTil,2,3,1,1,0,1,0,405,405,GasA,4,Y,4,717,322,0,1039,0,0,1,0,2,1,3,6,5,0,0,Detchd,1940,1,1,281,3,3,0,0,0,168,0,111,0,0,0,NA,0,5,2009,WD ,114000
644,70,RM,60,9600,Pave,NA,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,4,4,1910,1950,Gable,CompShg,VinylSd,VinylSd,None,0,4,4,BrkTil,2,3,1,1,0,1,0,677,677,GasA,3,Y,4,833,677,0,1510,0,0,2,0,3,1,4,7,5,0,0,Detchd,1974,1,2,720,3,3,0,0,0,160,0,0,0,0,0,NA,0,6,2009,WD ,87500
645,60,RL,98,12328,Pave,NA,3,Lvl,4,Inside,3,StoneBr,Norm,Norm,1Fam,2Story,8,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,Stone,146,4,3,PConc,5,3,2,6,986,1,0,163,1149,GasA,5,Y,4,1164,1377,0,2541,1,0,3,1,4,1,5,10,5,1,4,BuiltIn,2005,3,3,729,3,3,1,120,32,0,0,0,0,0,0,NA,0,7,2007,WD ,349265
646,20,RL,76,10141,Pave,NA,3,Lvl,4,Inside,3,SawyerW,Norm,Norm,1Fam,1Story,8,5,2004,2004,Gable,Tar&Grv,VinylSd,VinylSd,BrkFace,264,4,3,PConc,4,3,4,4,516,3,774,222,1512,GasA,5,Y,4,1512,0,0,1512,0,0,2,0,3,1,4,6,5,0,0,Attchd,2004,2,3,845,3,3,1,210,36,0,0,0,0,0,0,NA,0,1,2009,WD ,203000
647,20,RL,65,8529,Pave,NA,3,Lvl,4,Inside,3,SawyerW,Norm,Norm,1Fam,1Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,6,20,1,0,1434,1454,GasA,5,Y,4,1434,0,0,1434,0,0,2,0,3,1,4,6,5,1,3,Attchd,2001,2,2,527,3,3,1,290,39,0,0,0,0,0,0,NA,0,4,2009,WD ,189000
648,60,FV,65,8127,Pave,NA,3,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,6,410,1,0,402,812,GasA,5,Y,4,812,841,0,1653,1,0,2,1,3,1,4,6,5,0,0,Attchd,2003,2,2,628,3,3,1,0,45,0,0,0,0,0,0,NA,0,3,2009,WD ,209000
649,70,RM,70,8400,Pave,NA,4,Lvl,4,Corner,3,OldTown,Artery,Norm,1Fam,2Story,6,7,1900,1950,Gable,CompShg,Stucco,BrkFace,None,0,3,3,BrkTil,2,4,2,1,0,1,0,917,917,GasA,4,Y,3,1090,917,0,2007,0,0,2,0,3,1,5,8,5,0,0,Detchd,1930,1,1,357,3,3,1,0,235,0,0,0,0,0,0,NA,0,6,2009,WD ,160000
650,20,RL,44,10751,Pave,NA,3,Lvl,4,CulDSac,3,Sawyer,RRAe,Norm,1Fam,1Story,5,5,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,44,3,3,CBlock,2,3,4,5,787,1,0,250,1037,GasA,3,Y,4,1037,0,0,1037,1,0,1,0,2,1,3,5,5,0,0,Attchd,1974,2,2,431,3,3,1,136,47,0,0,0,0,0,0,NA,0,8,2007,WD ,129000
651,20,RL,77,10010,Pave,NA,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,1Story,5,5,1974,1975,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,4,3,3,5,1071,2,123,195,1389,GasA,4,Y,4,1389,0,0,1389,1,0,1,0,2,1,3,6,5,1,3,Attchd,1975,2,2,418,3,3,1,240,38,0,0,0,0,0,0,NA,0,4,2006,WD ,170000
652,30,RL,40,4280,Pave,NA,4,Lvl,4,Inside,3,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,None,0,3,3,PConc,3,3,1,2,365,1,0,75,440,GasA,3,N,4,694,0,0,694,0,0,1,0,2,1,4,4,5,1,4,Detchd,1990,1,1,352,4,3,1,0,0,34,0,0,0,0,3,NA,0,3,2007,WD ,90350
653,50,RL,60,9600,Pave,NA,4,Lvl,4,Corner,3,Edwards,Artery,Norm,1Fam,1.5Fin,6,5,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,1,1,0,1,0,572,572,Grav,2,N,2,572,524,0,1096,0,0,1,0,2,1,3,5,5,0,0,NA,0,0,0,0,0,0,0,0,8,128,0,0,0,0,0,NA,0,4,2008,WD ,79000
654,20,RL,70,9800,Pave,NA,4,Lvl,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,3,3,1,5,894,1,0,0,894,GasA,3,Y,4,894,0,0,894,1,0,1,0,3,1,3,5,5,0,0,Attchd,1975,1,2,552,3,3,1,256,0,0,0,0,0,0,2,NA,0,7,2006,WD ,149900
655,20,RL,63,7560,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1971,1971,Hip,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,4,3,1,3,119,5,613,132,864,GasA,3,Y,4,864,0,0,864,1,0,1,0,3,1,3,5,5,0,0,Detchd,1977,1,2,576,3,3,1,0,0,0,0,0,0,0,0,NA,0,5,2008,WD ,123000
656,70,RM,60,9600,Pave,Grvl,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,4,2,1900,1950,Gable,CompShg,AsbShng,Stucco,None,0,3,3,BrkTil,3,2,1,1,0,1,0,1095,1095,GasW,2,N,4,1095,679,0,1774,1,0,2,0,4,2,3,8,4,0,0,2Types,1920,1,3,779,2,2,0,0,0,90,0,0,0,0,0,NA,0,5,2006,WD ,87000
657,80,RL,76,9880,Pave,NA,4,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,SLvl,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,3,3,3,5,522,1,0,574,1096,GasA,3,Y,4,1118,0,0,1118,1,0,1,0,3,1,3,6,5,1,1,Attchd,1977,3,1,358,3,3,1,203,0,0,0,0,576,4,4,NA,0,7,2008,WD ,171000
658,50,RL,80,9600,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1.5Fin,6,5,1950,1950,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,3,3,1,4,280,1,0,752,1032,GasA,3,Y,3,1032,220,0,1252,0,0,1,0,3,1,3,6,5,0,0,Attchd,1950,1,1,288,3,3,1,0,0,96,0,0,0,0,0,NA,0,4,2008,WD ,119000
659,20,RL,70,7931,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,Plywood,None,0,3,3,CBlock,3,3,1,4,1148,1,0,0,1148,GasA,3,Y,4,1148,0,0,1148,1,0,1,0,3,1,3,6,5,0,0,Attchd,1959,1,1,672,3,3,1,0,0,0,0,0,0,0,4,NA,0,7,2009,WD ,132500
660,70,RM,0,5100,Pave,Grvl,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,CompShg,Stucco,Wd Shng,None,0,3,4,PConc,3,3,1,1,0,1,0,588,588,GasA,2,Y,4,833,833,0,1666,0,0,1,0,3,1,4,7,5,1,4,Detchd,1925,1,1,228,3,3,1,192,63,0,0,0,0,0,3,NA,0,6,2008,WD ,161000
661,60,RL,0,9720,Pave,NA,3,Lvl,4,CulDSac,3,CollgCr,Norm,Norm,1Fam,2Story,9,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,134,4,3,PConc,4,3,2,6,1194,1,0,163,1357,GasA,5,Y,4,1366,581,0,1947,1,0,2,1,3,1,4,7,5,1,3,BuiltIn,2001,3,3,725,3,3,1,168,116,0,0,0,0,0,0,NA,0,1,2008,WD ,274000
662,20,RL,70,8521,Pave,NA,4,Lvl,4,FR2,3,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,1,5,842,1,0,70,912,GasA,3,Y,4,912,0,0,912,0,0,1,0,3,1,3,5,5,1,2,Detchd,1974,1,1,336,3,3,1,0,0,0,0,0,0,0,3,NA,0,5,2010,WD ,125000
663,90,RL,52,8741,Pave,NA,4,Lvl,4,Inside,3,Edwards,Norm,Norm,Duplex,1Story,5,6,1946,1950,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,3,3,1,1,0,1,0,1195,1195,GasA,3,N,4,1195,0,0,1195,0,0,2,0,4,2,3,8,5,0,0,NA,0,0,0,0,0,0,0,118,0,0,0,0,0,0,2,NA,0,7,2007,WD ,98500
664,20,RL,89,12461,Pave,NA,4,Lvl,4,Corner,3,NoRidge,Norm,Norm,1Fam,1Story,8,5,1994,1995,Gable,CompShg,ImStucc,ImStucc,None,0,4,3,PConc,4,3,1,6,1456,1,0,168,1624,GasA,5,Y,4,1624,0,0,1624,1,0,2,0,2,1,4,5,5,1,2,Attchd,1994,2,3,757,3,3,1,0,114,192,0,0,0,0,4,NA,0,7,2006,WD ,262000
665,20,RL,76,6950,Pave,NA,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,5,7,1979,1979,Gable,CompShg,HdBoard,HdBoard,BrkFace,40,3,3,CBlock,3,3,1,5,710,4,72,132,914,GasA,3,Y,4,914,0,0,914,1,0,1,0,2,1,3,5,5,0,0,Attchd,1979,1,2,444,3,3,1,0,0,0,0,0,0,0,0,NA,0,10,2009,WD ,134900
666,20,RL,115,16905,Pave,NA,4,Lvl,4,Inside,3,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,3,3,4,4,967,1,0,383,1350,GasA,4,Y,4,1328,0,0,1328,0,1,1,1,2,1,3,5,5,2,4,Attchd,1959,2,1,308,3,3,1,0,104,0,0,0,0,0,0,NA,0,7,2007,WD ,170000
667,70,RL,53,7155,Pave,NA,4,Lvl,4,Inside,3,Crawfor,Norm,Norm,1Fam,2Story,6,8,1926,1991,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,1,1,0,1,0,686,686,GasA,3,Y,4,686,775,0,1461,0,0,1,0,3,1,3,6,5,1,4,Detchd,1926,1,1,225,3,3,0,0,0,116,0,0,0,0,3,NA,0,7,2007,WD ,135000
668,60,RL,0,9205,Pave,NA,3,Lvl,4,Inside,3,NoRidge,Norm,Norm,1Fam,2Story,6,5,1990,1991,Hip,CompShg,HdBoard,HdBoard,BrkFace,304,4,3,PConc,4,3,1,5,704,1,0,226,930,GasA,5,Y,4,1364,1319,0,2683,1,0,2,1,4,1,4,9,5,2,4,Attchd,1990,2,2,473,3,3,1,237,251,0,0,196,0,0,0,NA,0,6,2008,WD ,290000
669,20,RL,64,7697,Pave,NA,4,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,4,3,PConc,4,3,1,1,0,1,0,1246,1246,GasA,5,Y,4,1258,0,0,1258,0,0,2,0,3,1,4,6,5,0,0,Attchd,2007,2,2,462,3,3,1,0,0,0,0,0,0,0,0,NA,0,8,2007,New,173500
670,20,RL,78,7800,Pave,NA,4,Bnk,4,Inside,3,Edwards,Norm,Norm,1Fam,2Story,5,8,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,CBlock,3,4,1,6,603,1,0,293,896,GasA,5,Y,4,1112,896,0,2008,1,0,3,0,3,1,5,8,5,0,0,Attchd,1948,1,1,230,3,3,1,103,0,0,0,0,0,0,0,NA,0,8,2006,WD ,225000
671,20,RL,0,14357,Pave,NA,3,Lvl,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1961,1961,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,1,5,311,2,167,386,864,GasA,3,Y,4,1187,0,0,1187,1,0,1,0,2,1,3,6,5,1,3,Attchd,1961,2,2,440,3,3,1,128,0,0,0,0,0,0,0,NA,0,8,2007,CWD,140500
672,20,RL,65,8775,Pave,NA,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,4,3,1,6,495,1,0,495,990,GasA,4,Y,4,990,0,0,990,0,0,1,0,3,1,3,5,5,0,0,Attchd,1996,1,1,299,3,3,1,0,64,0,0,0,0,0,0,NA,0,4,2007,WD ,126000
673,160,FV,24,2645,Pave,Pave,4,Lvl,4,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,466,4,3,PConc,4,3,1,6,612,1,0,348,960,GasA,5,Y,4,962,624,0,1586,1,0,2,1,3,1,4,7,5,0,0,Detchd,1999,1,2,480,3,3,1,169,0,0,0,0,0,0,0,NA,0,12,2008,WD ,170000
